| Year | Output (in millions) | Labor (in thousands) | Capital (in millions) |
|------|-----------------------|----------------------|------------------------|
| 2000 |         500           |         50           |          100           |
| 2001 |         520           |         52           |          110           |
| 2002 |         550           |         55           |          120           |
| 2003 |         580           |         58           |          130           |
| 2004 |         600           |         60           |          140           |
| 2005 |         620           |         62           |          150           |
| 2006 |         650           |         65           |          160           |
| 2007 |         680           |         68           |          170           |
| 2008 |         700           |         70           |          180           |
| 2009 |         720           |         72           |          190           |
